a,b
a52dec,glibc,NULL
aalib,gpm,NULL
aalib,libx11,NULL
accounts-qml-module,signond,NULL
accounts-qml-module,libaccounts-qt,NULL
accounts-qml-module,qt5-declarative,NULL
accountsservice,glib2,NULL
accountsservice,polkit,NULL
accountsservice,systemd,NULL
accountsservice,shadow,NULL
accountsservice,libxcrypt,NULL
acl,attr,NULL
acpilight,python,NULL
adwaita-icon-theme,hicolor-icon-theme,NULL
adwaita-icon-theme,gtk-update-icon-cache,NULL
adwaita-icon-theme,librsvg,NULL
alacritty,freetype2,NULL
alacritty,fontconfig,NULL
alacritty,libxi,NULL
alacritty,libxcursor,NULL
alacritty,libxrandr,NULL
alsa-lib,glibc,NULL
alsa-lib,alsa-topology-conf,NULL
alsa-lib,alsa-ucm-conf,NULL
alsa-plugins,glibc,NULL
alsa-plugins,libasound.so,2-64
alsa-utils,glibc,NULL
alsa-utils,pciutils,NULL
alsa-utils,psmisc,NULL
alsa-utils,libasound.so,2-64
alsa-utils,libatopology.so,2-64
alsa-utils,libformw.so,6-64
alsa-utils,libmenuw.so,6-64
alsa-utils,libncursesw.so,6-64
alsa-utils,libpanelw.so,6-64
alsa-utils,libsamplerate.so,0-64
aom,gcc-libs,NULL
apparmor,audit,NULL
apparmor,glibc,NULL
apparmor,pam,NULL
apparmor,python,NULL
apparmor,libcrypt.so,2-64
appstream,libyaml,NULL
appstream,libxml2,NULL
appstream,libstemmer,NULL
appstream,glib2,NULL
appstream,lmdb,NULL
appstream,libsoup,NULL
appstream-qt,appstream,NULL
appstream-qt,qt5-base,NULL
argon2,glibc,NULL
asar,nodejs,NULL
aspell,gcc-libs,NULL
aspell,ncurses,NULL
at-spi2-atk,at-spi2-core,NULL
at-spi2-atk,libx11,NULL
at-spi2-atk,libxml2,NULL
at-spi2-atk,atk,NULL
at-spi2-core,dbus,NULL
at-spi2-core,glib2,NULL
at-spi2-core,libxtst,NULL
atk,glib2,NULL
atkmm,atk,NULL
atkmm,glibmm,NULL
atool,file,NULL
atool,perl,NULL
attica,qt5-base,NULL
attr,glibc,NULL
audit,krb5,NULL
audit,libcap-ng,NULL
autoconf,awk,NULL
autoconf,m4,NULL
autoconf,diffutils,NULL
autoconf,perl,NULL
autoconf,sh,NULL
autoconf-archive,autoconf,NULL
automake,perl,NULL
automake,bash,NULL
avahi,expat,NULL
avahi,libdaemon,NULL
avahi,glib2,NULL
avahi,libcap,NULL
avahi,gdbm,NULL
avahi,dbus,NULL
avahi,libdbus-1.so,3-64
awesome,cairo,NULL
awesome,dbus,NULL
awesome,gdk-pixbuf2,NULL
awesome,imlib2,NULL
awesome,libxdg-basedir,NULL
awesome,lua53,NULL
awesome,lua53-lgi,NULL
awesome,pango,NULL
awesome,startup-notification,NULL
awesome,xcb-util-cursor,NULL
awesome,xcb-util-keysyms,NULL
awesome,xcb-util-wm,NULL
awesome,xorg-xmessage,NULL
awesome,libxkbcommon-x11,NULL
awesome,libxkbcommon,NULL
awesome,xcb-util-xrm,NULL
baloo,kfilemetadata,NULL
baloo,kidletime,NULL
baloo,kio,NULL
baloo,lmdb,NULL
base,filesystem,NULL
base,gcc-libs,NULL
base,glibc,NULL
base,bash,NULL
base,coreutils,NULL
base,file,NULL
base,findutils,NULL
base,gawk,NULL
base,grep,NULL
base,procps-ng,NULL
base,sed,NULL
base,tar,NULL
base,gettext,NULL
base,pciutils,NULL
base,psmisc,NULL
base,shadow,NULL
base,util-linux,NULL
