a52dec,0.7.4-11
aalib,1.4rc5-14
accounts-qml-module,0.7-3
accountsservice,0.6.55-3
acl,2.2.53-3
acpilight,1.2-2
adwaita-icon-theme,3.38.0-1
alacritty,0.6.0-1
alsa-card-profiles,14.0-1
alsa-lib,1.2.4-3
alsa-plugins,1:1.2.2-2
alsa-topology-conf,1.2.4-2
alsa-ucm-conf,1.2.4-2
alsa-utils,1.2.4-2
aom,2.0.1-1
apparmor,3.0.1-1
appstream,0.13.1-1
appstream-qt,0.13.1-1
arch-wiki-docs,20200527-1
archlinux-appstream-data,20201223-1
archlinux-keyring,20201210-1
argon2,20190702-3
asar,3.0.3-1
asio,1.18.0-1
aspell,0.60.8-2
at-spi2-atk,2.38.0-1
at-spi2-core,2.38.0-1
atk,2.36.0-1
atkmm,2.28.1-1
atool,0.39.0-7
attica,5.78.0-1
attr,2.4.48-3
audit,2.8.5-9
autoconf,2.70-1
autoconf-archive,1:2019.01.06-4
automake,1.16.2-3
avahi,0.8+15+ge8a3dd0-3
awesome,4.3-2
baloo,5.78.0-1
base,2-2
bash,5.1.004-1
bc,1.07.1-4
binutils,2.35.1-1
bison,3.7.2-1
bluedevil,1:5.20.5-1
bluez,5.55-1
bluez-libs,5.55-1
bluez-qt,5.78.0-1
bluez-utils,5.55-1
bolt,0.9.1-1
boost,1.75.0-2
boost-libs,1.75.0-2
brave-bin,1:1.18.70-1
breeze,5.20.5-1
breeze-gtk,5.20.5-1
breeze-icons,5.78.0-1
brotli,1.0.9-4
btrfs-progs,5.9-3
bzip2,1.0.8-4
c-ares,1.17.1-1
ca-certificates,20181109-4
ca-certificates-mozilla,3.60.1-1
ca-certificates-utils,20181109-4
cabal-install,3.2.0.0-143
cairo,1.17.4-3
cairo-perl,1.107-2
cairomm,1.12.2-4
cantarell-fonts,1:0.301-1
ccls,0.20201219-1
cdparanoia,10.2-8
check,0.15.2-2
cifs-utils,6.11-3
clang,11.0.0-4
clucene,2.3.3.4-11
cmake,3.19.2-1
colord,1.4.5-1
compiler-rt,11.0.0-1
confuse,3.3-3
convertlit,1.8-10
coreutils,8.32-1
cpio,2.13-2
cryptsetup,2.3.4-1
curl,7.74.0-1
dav1d,0.7.1-1
db,5.3.28-5
dbus,1.12.20-1
dbus-glib,0.110-2
dconf,0.38.0-1
deadbeef,1.8.4-1
desktop-file-utils,0.26-1
device-mapper,2.02.187-3
dhcpcd,9.4.0-1
diffutils,3.7-3
discord_arch_electron,0.0.13-1
discount,2.2.7-1
discover,5.20.5-1
dkms,2.8.4-1
dmenu,5.0-1
dmraid,1.0.0.rc16.3-12
dnssec-anchors,20190629-3
docbook-xml,4.5-9
docbook-xsl,1.79.2-7
dosfstools,4.1-3
double-conversion,3.1.5-2
drkonqi,5.20.5-1
dropbox,111.4.472-1
dunst,1.5.0-1
dwm-distrotube-git,6.2.r14.897a867-1
e2fsprogs,1.45.6-3
ebook-tools,0.2.2-7
editorconfig-core-c,0.12.4-1
efibootmgr,17-2
efivar,37-4
egl-wayland,1.1.6-1
eglexternalplatform,1.1-2
electron,11.1.1-1
elfutils,0.182-1
elinks,0.14.0-1
emacs,27.1-3
enca,1.19-4
exiv2,0.27.3-1
expac,10-2
expat,2.2.10-2
faac,1.30-2
faad2,2.10.0-1
fakeroot,1.25.3-1
fd,8.2.1-1
feh,3.6.2-1
ffmpeg,2:4.3.1-3
fftw,3.3.9-1
file,5.39-1
filelight,20.12.1-1
filesystem,2020.09.03-1
findutils,4.7.0-2
flac,1.3.3-2
flameshot,0.8.5-1
flex,2.6.4-3
fontconfig,2:2.13.91+48+gfcb0420-2
frameworkintegration,5.78.0-1
freetype2,2.10.4-1
frei0r-plugins,1.7.0-1
fribidi,1.0.10-1
fuse-common,3.10.1-1
fuse2,2.9.9-4
fuse3,3.10.1-1
fzf,0.25.0-1
gavl,1.4.0-4
gawk,5.1.0-1
gc,8.0.4-4
gcc,10.2.0-4
gcc-libs,10.2.0-4
gconf,3.2.6+11+g07808097-9
gcr,3.38-1
gd,2.3.0-1
gdb,10.1-4
gdb-common,10.1-4
gdbm,1.19-1
gdk-pixbuf2,2.42.2-1
gendesk,1.0.6-1
gettext,0.21-1
ghc,8.10.3-1
ghc-libs,8.10.3-1
giblib,1.2.4-8
giflib,5.2.1-2
girara,0.3.5-1
git,2.30.0-1
glib-networking,2.66.0-1
glib-perl,1.329.3-1
glib2,2.66.4-1
glib2-docs,2.66.4-1
glibc,2.32-5
glibmm,2.64.5-1
glslang,11.1.0-1
glu,9.0.1-2
gmp,6.2.1-1
gnome-common,3.18.0-4
gnome-keyring,1:3.36.0-3
gnu-free-fonts,20120503-8
gnupg,2.2.25-1
gnuplot,5.4.1-1
gnutls,3.7.0-1
go,2:1.15.6-1
go-tools,2:1.15+4895+c1934b75d-2
gobject-introspection,1.66.1-3
gobject-introspection-runtime,1.66.1-3
gpgme,1.15.0-2
gpm,1.20.7.r38.ge82d1a6-3
gptfdisk,1.0.5-1
graphene,1.10.2-1
graphite,1:1.3.14-1
grep,3.6-1
groff,1.22.4-3
grub,2:2.04-8
grub-customizer,5.1.0-2
gsettings-desktop-schemas,3.38.0-1
gsl,2.6-2
gsm,1.0.19-1
gst-libav,1.18.2-1
gst-plugins-base,1.18.2-1
gst-plugins-base-libs,1.18.2-1
gst-plugins-good,1.18.2-1
gst-plugins-ugly,1.18.2-1
gstreamer,1.18.2-1
gtk-doc,1.33.1-1
gtk-update-icon-cache,1:3.24.24-1
gtk2,2.24.33-1
gtk2-perl,1.24993-2
gtk3,1:3.24.24-1
gtkimageview,1.6.4-7
gtkmm,1:2.24.5-4
gtkmm3,3.24.3-1
guile,2.2.6-2
gumbo-parser,0.10.1-2
gvfs,1.46.2-1
gzip,1.10-3
harfbuzz,2.7.4-1
harfbuzz-icu,2.7.4-1
harmony-player,0.9.1-1
haskell-adjunctions,4.4-195
haskell-aeson,1.5.5.1-3
